avg_cost,cuisines,id,location,name,price_range,rating
1400,"Italian, Pizza, Mexican",50620,"2017, Near Reebok Showroom, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Little Italy,3,4.2
450,"French, Sandwich, Salad",18158350,"1675, Ground Floor,  4th Cross, 9th Main, HAL 3rd Stage, Thippasandra, Bangalore",Le Casse Crote,1,4.4
850,"Andhra, Biryani",50708,"195, Double Road, Indiranagar, Bangalore",Nagarjuna,2,4.2
750,"North Indian, Arabian, South Indian, Chinese, Biryani",52599,"Next to BSNL, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",Empire Restaurant,2,4.3
600,"Cafe, Healthy Food, Salad, Beverages",53599,"89, Near BDA Complex, 11th Cross, 60 Feet Road, Off Double Road, Indiranagar, Bangalore",The Yogisthaan Cafe,2,4.2
1000,"Cafe, Italian, American",18571197,"12th Main Road, Indiranagar, Bangalore",Ciclo Cafe,3,4.3
1500,"Italian, Mediterranean, Pizza",53109,"Escape Hotel & Spa, 770, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Bricklane,3,4.2
1300,"European, Continental, Asian, Finger Food",18684431,"776, 3rd Floor, 100 Feet Road, Indiranagar, Bangalore",BTDT? Been There Done That,3,4.3
450,"South Indian, Chinese, North Indian, Street Food, Beverages",18011656,"270, 100 Feet Road, Indiranagar, Bangalore",Sri Udupi Park,1,4.2
1500,"Continental, Salad, Burger, Finger Food, Pizza",59132,"770, Escape Hotel & Spa, 12th Main, 100 Feet Road, Indiranagar, Bangalore",The Black Rabbit,3,4.3
800,"Andhra, Biryani, North Indian, Chinese",50715,"4034, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Nandhana Palace,2,4.2
2100,"Continental, American, Asian, North Indian, Burger",56752,"763, Near Sony World, 100 Feet Road, Indiranagar, Bangalore",LOFT38,4,4.3
1100,"Chinese, Seafood",55349,"196, 3rd Floor, Double Road, Indiranagar, Bangalore",Bangalore Mandarin,3,4.2
600,"Pizza, Cafe, Italian",18221572,"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore",Onesta,2,4.3
1700,"Lebanese, Arabian, Middle Eastern, Salad, Beverages",55045,"842/A, 100 Feet Road, Indiranagar, Bangalore",Byblos,3,4.2
1200,"American, Continental, BBQ, Steak",18567309,"957, Near Gold's Gym, 12th Main, Off 100 Feet Road, Indiranagar, Bangalore",Plan B,3,4.3
1000,"South Indian, Finger Food",18816683,"777/i, Opposite New Horizon School, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Bob's Bar,3,4.2
1400,"American, Asian, European, North Indian",57678,"610, Diagonally Opposite SBI Bank, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Monkey Bar,3,4.3
1100,Finger Food,57041,"765, 1st floor, 2nd Stage HAL, 100 Feet Road, Indiranagar, Bangalore",Pecos Stones,3,4.2
1200,"Portuguese, African",18298235,"1088, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",Nando's,3,4.3
600,Cafe,54168,"508, Melmat Building, Near Fabindia, CMH Road, Defence Colony, Indiranagar, Bangalore",Matteo Coffea,2,4.2
1000,Bengali,57175,"201, Double Road, Indiranagar, Bangalore",Esplanade,3,4.3
300,South Indian,54699,"Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Mavalli Tiffin Room (MTR),1,4.3
300,Desserts,61705,"621/B, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",Cream Stone,1,4.2
1000,North Indian,18369815,"1088, 2nd Floor, 12th Main, Indiranagar, Bangalore",Tandoori Taal,3,4.2
900,"Biryani, North Indian",58193,"3169-B, 12th Main, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",Tandoori Taal,2,4.3
300,Arabian,58141,"1069, 27th Main, 39th Cross, 9th Block, Jayanagar, Bangalore",Just Shawarma,1,4.3
300,"Cafe, Fast Food, Burger, Beverages, Sandwich, Pizza",18701756,"Shop B, Ground Floor, No. 615/1, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",The Blue Wagon - Kitchen,1,4.6
400,"Ice Cream, Desserts",18784563,"7, 9th main 5th Block, Jayanagar, Bangalore",Milano Ice Cream,1,4.5
700,"Coffee, Fast Food",18653516,"Shop 66/1, 4th Block, Near Maiys Hotel, 33rd Cross Road, Jayanagar, Bangalore",Cafe Ajfan,2,4.3
300,"Beverages, Sandwich",18675459,"766/25-01, 47th A Cross, Near Sangam Circle, Adarsh Gardens Apartments Road, 8th Block, Jayanagar, Bangalore",Shakes Theory,1,4.5
400,South Indian,18531650,"234, 32 A Cross, 2nd Main Road, 7th Block, Jayanagar, Bangalore",Prems Graama Bhojanam,1,4.3
